Startup_ID,Domain,Startup_Stage,Industry_Funder_Type,Investment_Amount,Valuation,Number_of_Investors,Year_Founded,Growth_Rate_Cent
ST100000,Healthcare,Early Revenue,VC Firm,1335165853.1,6621448041.824468,50,2012,77.1
ST100001,Sustainability,MVP,Government Grant,2781498219.93,8363214103.88975,36,2006,105.52
ST100002,Healthcare,Idea,Angel Investor,3309031930.22,15482697353.099028,39,2016,190.47
ST100003,Blockchain,Idea,Angel Investor,4050196269.12,12682527892.17541,44,2021,9.44
ST100004,Sustainability,Idea,Angel Investor,1645080294.64,6887965942.865217,48,2011,192.0
ST100005,Healthcare,MVP,Corporate R&D,3939088574.84,11462969525.297262,38,2003,26.28
ST100006,AgriTech,Prototype,Government Grant,1349245127.85,2490393546.173328,24,2017,104.98
ST100007,Healthcare,Idea,Angel Investor,4128951425.92,16303568856.291613,24,2006,89.13
ST100008,Sustainability,MVP,VC Firm,3950045010.91,9733266248.997322,5,2007,57.99
ST100009,Energy,MVP,VC Firm,4865378632.8,18692791832.252808,31,2000,31.16
ST100010,Healthcare,Prototype,Angel Investor,2797198504.14,13826645051.84505,17,2019,33.69
ST100011,AI,Early Revenue,Government Grant,1726597437.89,7608269223.785214,19,2021,199.0
ST100012,Energy,Idea,Angel Investor,1818562344.1,4835268340.067286,14,2000,105.73
ST100013,Sustainability,Early Revenue,Angel Investor,1095961480.41,3965453491.279286,44,2016,31.95
ST100014,Sustainability,Prototype,VC Firm,4195481545.25,13491122379.383991,24,2009,99.34
ST100015,Energy,MVP,Government Grant,3098366688.83,7743384208.769788,32,2008,142.01
ST100016,Blockchain,Early Revenue,Government Grant,2545210318.74,11381431784.3641,46,2010,164.5
ST100017,Smart Cities,Prototype,Angel Investor,2695914069.44,11492050840.25098,29,2013,25.17
ST100018,AI,MVP,VC Firm,3434765565.55,10200304017.1882,28,2021,93.38
ST100019,Energy,Early Revenue,Corporate R&D,567429029.03,2805347516.8289385,50,2016,115.76
ST100020,Blockchain,Early Revenue,Corporate R&D,3427058576.36,12358527827.868353,35,2001,46.26
ST100021,AgriTech,Prototype,Government Grant,3465387849.44,5927235280.188162,45,2021,107.46
ST100022,AgriTech,MVP,Corporate R&D,4566754284.14,7545805565.319331,7,2014,69.76
ST100023,AgriTech,Idea,Government Grant,3021729517.51,5211428908.023629,2,2014,114.99
ST100024,Sustainability,Idea,VC Firm,288205121.58,1415080231.4529824,22,2021,176.28
ST100025,AI,Early Revenue,Angel Investor,3334508349.99,5015410780.912428,1,2017,154.84
ST100026,AI,Idea,Corporate R&D,4166499162.52,16357699018.240278,22,2002,82.81
ST100027,AgriTech,Early Revenue,VC Firm,440011615.23,1565465840.3469183,9,2013,146.55
ST100028,Energy,MVP,VC Firm,3256022294.9,8096886148.448484,48,2010,99.75
ST100029,Blockchain,Prototype,Government Grant,3026419469.15,6802919454.497738,13,2005,47.37
ST100030,AgriTech,MVP,Government Grant,4705042824.65,17203808326.963245,35,2002,87.95
ST100031,Energy,Idea,VC Firm,4294449811.39,20891484639.41212,8,2019,91.51
ST100032,AgriTech,Prototype,Government Grant,2867170174.15,6499884835.941129,27,2019,83.3
ST100033,IoT,Prototype,VC Firm,4374659519.73,6662238862.925446,2,2016,196.58
ST100034,Energy,MVP,Angel Investor,3777513647.39,15234607026.317108,12,2003,186.59
ST100035,Sustainability,MVP,Corporate R&D,3647514987.49,5586375044.628251,18,2014,13.16
ST100036,IoT,Prototype,Angel Investor,4411234804.76,11691080168.103416,50,2011,147.11
ST100037,IoT,Early Revenue,Angel Investor,2725867165.62,4089854368.774714,19,2022,187.72
ST100038,Blockchain,Idea,Corporate R&D,4790851851.76,22981467971.673523,20,2001,33.71
ST100039,IoT,MVP,VC Firm,2751786274.72,8856652982.291237,14,2005,97.9
ST100040,Sustainability,Early Revenue,VC Firm,3972168775.93,18893051079.68139,49,2016,104.99
ST100041,Sustainability,MVP,Government Grant,1036222596.89,3964715622.1792393,25,2016,110.52
ST100042,Healthcare,Early Revenue,Corporate R&D,1638827482.93,3545351528.3056784,38,2017,167.34
ST100043,Energy,Prototype,Corporate R&D,2767906479.48,11784319878.459991,17,2005,153.61
ST100044,Sustainability,Prototype,VC Firm,3480520968.8,13041915911.934908,30,2010,125.65
ST100045,Sustainability,Idea,Government Grant,3254439463.31,7876334439.049745,20,2016,147.04
ST100046,Blockchain,MVP,Angel Investor,4032615160.05,20078014719.067585,38,2000,48.73
ST100047,AgriTech,MVP,Angel Investor,475269528.08,2223977127.625992,49,2012,48.13
ST100048,Sustainability,Prototype,Corporate R&D,4897855433.55,8005010523.680097,16,2011,122.39
ST100049,Blockchain,MVP,Government Grant,1979604878.09,8694160540.971277,4,2013,12.64
ST100050,IoT,MVP,Corporate R&D,2876153119.3,5826669173.859353,18,2001,138.19
ST100051,IoT,Prototype,Corporate R&D,2321745880.25,6758206634.670489,32,2000,192.74
ST100052,Smart Cities,Idea,Government Grant,675587864.57,1229453482.539445,26,2014,139.82
ST100053,Energy,MVP,Angel Investor,1176101216.28,3251064586.116904,4,2002,198.29
ST100054,Smart Cities,Idea,Angel Investor,3604778899.84,16922409671.52045,3,2018,71.9
ST100055,Energy,MVP,Corporate R&D,4830737938.1,17347814945.71877,5,2020,92.66
ST100056,Smart Cities,Prototype,VC Firm,4360313592.0,9907684658.828943,37,2019,160.82
ST100057,Healthcare,Prototype,Angel Investor,2028361128.74,6102998475.328899,29,2009,119.37
ST100058,Healthcare,Prototype,Government Grant,2756855232.44,11130347512.391493,25,2007,157.0
ST100059,Smart Cities,Early Revenue,Government Grant,820455124.6,1840836654.7642283,31,2009,57.83
ST100060,Sustainability,Prototype,Government Grant,4437872047.6,6878102854.758722,22,2013,107.86
ST100061,Energy,Idea,Angel Investor,1924235656.36,3798190442.146417,37,2010,104.21
ST100062,Smart Cities,MVP,Angel Investor,2463967074.34,5665325649.959255,44,2008,53.86
ST100063,Healthcare,Idea,VC Firm,4470788164.24,19418366785.32559,16,2019,58.4
ST100064,Smart Cities,MVP,Angel Investor,4815534280.92,20158491149.734688,45,2008,25.42
ST100065,AgriTech,MVP,Corporate R&D,365913860.56,1672037254.1104138,21,2017,144.35
ST100066,AgriTech,Prototype,Angel Investor,2996659583.02,4667230455.884717,48,2006,62.22
ST100067,Energy,MVP,Angel Investor,3711464088.69,11066201278.735676,15,2013,87.42
ST100068,Sustainability,Early Revenue,VC Firm,928128649.47,4634153806.239821,21,2007,187.21
ST100069,AI,MVP,Corporate R&D,2603523861.44,9563072271.63529,19,2007,107.67
ST100070,Sustainability,MVP,Angel Investor,3644872687.35,11926210327.426886,14,2010,59.98
ST100071,AgriTech,Idea,Angel Investor,744631010.32,1620392801.4186869,2,2008,123.34
ST100072,Healthcare,MVP,Government Grant,1344780386.06,4537818813.982469,19,2005,179.18
ST100073,Smart Cities,Early Revenue,Government Grant,491018020.84,1354841679.996854,20,2013,165.57
ST100074,Blockchain,Prototype,Corporate R&D,1582882524.88,5586959852.453201,16,2020,144.16
ST100075,Blockchain,MVP,Government Grant,1085427021.26,4630172763.526157,18,2016,91.33
ST100076,Healthcare,Prototype,Corporate R&D,1340475423.36,2357879218.228429,20,2004,81.98
ST100077,Blockchain,Prototype,Government Grant,4940530156.26,23772801009.3952,14,2021,108.11
ST100078,AI,MVP,Corporate R&D,2749898672.7,5542968257.287758,9,2011,189.55
ST100079,Healthcare,Idea,VC Firm,4533989298.71,8054285187.148059,22,2005,69.71
ST100080,Blockchain,MVP,VC Firm,844854106.72,2590555965.7149515,23,2002,69.33
ST100081,IoT,Idea,Government Grant,3631343014.13,7772600871.780343,34,2010,28.16
ST100082,Smart Cities,Idea,Government Grant,3689561074.31,15527195348.04439,32,2012,159.5
ST100083,Healthcare,MVP,VC Firm,1876264361.81,6903335389.091311,14,2023,118.95
